,0,1
20,The Chesterfield Mayfair,"Both the room and the experience were absolutely wonderful. The most memorable part of our trip? The Concierge, Jake. This is man who does not simply direct you to restaurants, he actually walks you to them! I have never experienced that kind of customer service, and I can't imagine anyone, anyone at all, would not have much the same experience with Jake and the Chesterfield Mayfair. It was a phenomenal place, highlighted by a phenomenal staff. Bill O'Connell"
21,The Chesterfield Mayfair,"We have stayed at The Chesterfield numerous times over the last few years, and have always experienced first class service, extremely friendly staff and excellent food. The bar offers a knowledgeable drinks service, a good choice of bar snacks and live music - we love going to sit in there and enjoy the experience. Bedrooms are lovely and we always try to book a king size room as the classic rooms are limited in size. The breakfast offers a large choice, and vegetarians and vegans are catered for with no problems. As mentioned, we have always received first class service from all staff at The Chesterfield, and they are willing to go over and above what is required to help you. We could not speak highly enough of them. The hotel is situated in an excellent part of Mayfair, …"
22,The Chesterfield Mayfair,"The Chesterfield Mayfair is a real gem that will give travelers a taste of real British charm. The staff were more than gracious. The rooms, restaurant, bar and lobby are beautifully decorated. We enjoyed the cozy and welcoming bar after long days of visiting the many attractions London has to offer. The bartenders can always make you a drink that is different and delicious. We also had a wonderful dinner and breakfast daily in the restaurant. The food was very good. We suggest having at least one dinner in the hotel to enjoyed the stellar service and top-notch cuisine. The service was excellent and the staff were more than accommodating. My husband and I also loved the location. The hotel is on a quiet street in Mayfair, close to many great restaurants, pubs and shopping. The…"
23,The Chesterfield Mayfair,"Going to London has been on my bucket list for years. I booked this trip for myself and my daughter when she turned 18 — it was a combo birthday, Christmas, and high school graduation gift. Unfortunately, due to the pandemic, these vacation plans were canceled three times. However, we finally made it 2 1/2 years later, coincidentally landing in London on the day of King Charles' coronation. This was a package booked through Costco Travel, and my best friend suggested we stay here, based on the online reviews. Boy, I'm so glad she steered us this way. The experience at the Chesterfield Mayfair was nothing but top-notch. The place itself was beautiful, the architecture, décor, and structure itself so intricate. It was so charming and lovely, as was the staff. I can't commend…"
24,The Chesterfield Mayfair,Just got back from a week At the Chesterfield Mayfair in London. LOVED IT! The best part was the staff. Everyone made you feel like you were at home. I know a lot of places say they do this but honestly this was how I felt the whole time I was there. Thank you for making our trip so special and great. Location was very good. Rooms spotless. Food great!
25,The Chesterfield Mayfair,"A great stay, our second and hopefully not our last. The Hotel is very well managed, traditional, and homely. We love it and the staff. They are exceptional, they obviously love their job and we were really surprised to be recognised after our visit last year. They are natural, friendly and enjoy talking to you, they enjoy making your stay a special one. Location is great, just a few minutes from the tube and Green Park. Mustn't forget the wonderful linen on the bed, or the bed itself! Very comfortable. The dinner we had in the hotel was really excellent, service to match."
26,The Chesterfield Mayfair,"Incredible afternoon tea. The service from savolta was amazing. It made my celebration so special. Food was beautiful and such a wonderful array of teas. The ambiance was relaxed, not rushed and a very personalised level of service."
27,The Chesterfield Mayfair,"The Chesterfield is our home away from home when we're in London because the staff always go above and beyond to make our stay magical from the welcome note to remembering which tea & biscuit flavors we prefer in our room. The location is also convenient - a short walk to multiple Tube lines, Buckingham Palace, Green Park and shopping (Bond Street & Oxford Street). Butler's Restaurant (in the hotel) is also a treat - the staff is attentive and the food is wonderful - the fish & chips are our favorite!"
28,The Chesterfield Mayfair,The hotel was in a perfect location. The room was well appointed and the staff was very courteous. Would absolutely recommend to anyone visiting London. It situated away from the crowds but in a great neighborhood with good amenities!
29,The Chesterfield Mayfair,What a wonderful hotel experience! The most amazing staff from front door to housekeeping! They have a fabulous piano player on the weekends - we had a BLAST! Try out the lavender cocktail and the espresso martini. The afternoon tea is delicious! Location is just 8 minute walk from Green Park station Underground and so close to many fantastic restaurants! We would recomment and would stay there again. We went for the coronation and just had a wonderful time.
30,The Chesterfield Mayfair,"Dear Travellers, I stayed at the Chesterfield Mayfair in early May--Coronation week. My family is in the hotel business in the UK. I am reasonably familiar with the inner workings of what makes a hotel ""tick."" This hotel ticks all the boxes: location, cleanliness, excellent food, well-appointed rooms, value for money, and the ""secret sauce,"" staff who really give a ""damn"" for the customer. I used the mild expletive because staff concern for hotel guests isn't always genuine. Shout outs to: Evelina and Cyan in the Dining Room; Saffron and Amy at the Front Desk; and my behind-the-scenes friend, Christina. Can't wait to return in the Fall. Bravo."
31,The Chesterfield Mayfair,"What a treat! We stayed just one night to be close to the Coronation celebrations. From the moment we arrived, all of the front office and concierge team were super friendly and very helpful - nothing too much! The bed was like a cloud of comfort, lovely size and some very much appreciated personal touches. The box of teas, coffees and treats were of great quality. the bathroom and fluffy towels with fab Floris toiletries were a treat. Umbrellas to borrow so we didn't get wet (again!) and a lovely lunch in between festivities. Finally, it's the best neighbourhood to stay in - so central yet quiet. All round great. We will be back!"
32,The Chesterfield Mayfair,The staff is top rate and respond to your every need and the breakfast served daily was fantastic. The hotel location is walk-able to almost everything you want to see when visiting London. On our next trio back we will again be staying at the Chesterfield Mayfair
33,The Chesterfield Mayfair,"This is a lovely small hotel in an excellent location, our superior twin rooms was a good size for London with comfortable bed and luxurious bedding. We encountered a few members of staff from the friendly doorman to the reception and bar staff. Our room wasn't ready on time due a problem with the linens but the offer of a complimentary drink and canapes in the bar while we waited was most welcome and more than made up for it. We didn't have breakfast at the hotel so can't comment on that but we really enjoyed our stay."
34,The Chesterfield Mayfair,"The friendliest staff of any hotel that I have stayed in. The rooms are a bit small, but everything else about the hotel more than makes up for it. Breakfast is a feast, the staff are amazing, the location is perfect and the ambience is superb. It’s a four star hotel that casts a long shadow over many of the five star hotels. Strongly recommended."
35,The Chesterfield Mayfair,"Booked the sweet themed afternoon tea as something a little different and enjoyed every minute. Situated in the conservatory, the room was lovely and the food absolutely delicious. A range of real delights including the incredible selection of teas. Service was not perfect but the fact that the staff were fantastic meant it didn't have a negative impact on our visit. Every single one of them was approachable, smiley, willing to interact and just a pleasure to deal with so thank you for making our treat so special"
36,The Chesterfield Mayfair,"Great location, very friendly staff, good and ample breakfast (included in our room fee), attractive public rooms and restaurant. We had two rooms for two adults and two teens. Our rooms were clean but a bit tired, dark, cramped and didn't have good views. We only stayed one night and had come from a super-modern, light and bright hotel in another city, so when we return we might try the Chesterfield Mayfair again for a longer stay to give it another try. For our 20-hour stay that included two rooms and breakfast we paid approximately £850."
37,The Chesterfield Mayfair,"The hotel is charming, the food is wonderful and the staff are top notch. Thank you for a wonderful visit! The Chesterfield is in a central location. London was a delight and did not disappoint on the weather either."
38,The Chesterfield Mayfair,"From the moment you enter this beautiful space you are treated with care. Salvatore and Josef are simply perfection. They make it their mission to help in any way they can. Their professionalism is unmatched! All of the staff that we encountered throughout the Chesterfield were kind, polite and ever so helpful. The room is clean, well appointed and the bed is very comfortable. We had a great stay and highly recommend the Chesterfield."
39,The Chesterfield Mayfair,I attended a lunch for the first time at the Chesterfield recently . I was struck by how friendly and professional all the staff were at the hotel .Everyone without exception couldn't have been nicer .
40,The Chesterfield Mayfair,We stayed here in April and had a great stay . The hotel was beautiful and the staff was great and very helpful and it was a excellent location. Easy to walk to many great restaurants and historic sites . Highly recommend staying here if you visit London.
41,The Chesterfield Mayfair,Had the best time having the cream tea.Willy Wonka style. Was treated like like royalty by Rafal. As my wife and I were celebrating our 25th anniversary the waiting staff pulled out all the stops. All the staff were fantastic especially Rafal. We will definitely be back. All the staff in the hotel were professional from reception to catering. Thank you all for the good memories.
42,The Chesterfield Mayfair,"My hubby and I were in London for 9 days and spent 5 nights at the Chesterfield Mayfair. This is my review. Pro- • Location is great. The station is Green Park, so three lines go through there (Victoria, Jubilee and Piccadilly). Very convenient. The hotel is located about 8 minutes away from the station, a quiet neighborhood, so I really like it how when you go to sleep, it is quiet. • Staff is friendly and helpful. There is just no complaining about their outstanding services. • Housekeeping puts a cookie on your pillow each time they service your room! And we appreciate the bottled water too (though we just drink tap water and boil the tap water for hot beverages). By the way, I appreciate so much about the creamer from glass bottles, not the little plastic ones. Con - a…"
43,The Chesterfield Mayfair,"I recently brought my mom to London to celebrate her 65th birthday, and our stay at the Chesterfield Mayfair was absolutely perfect! The staff were so friendly & helpful. The decor is beautiful. The room was clean, comfortable, and had everything we needed. The location was perfect for sightseeing, exploring, eating, & shows. We were able to walk to Buckingham, Westminster, Soho, and the West End, and the hotel was just a short walk from the tube or bud for everything else. The hotel bar was excellent - the bartenders were so personable & the pianist at night is a great touch. Everyone went out of their way to make my mom feel special on her birthday, and it was so memorable for her. I would highly recommend this hotel!"
44,The Chesterfield Mayfair,"THis is one of my favorites in London. Food is good, nice bar, clean rooms, friendly and helpful staff! I go frequently with an art group and we always feel welcome. Joseph and Amy were both great."
45,The Chesterfield Mayfair,"We had a fabulous stay here because all the staff were so incredibly friendly and helpful! In particular, Agnelo was incredibly helpful and our last day, he sent us off in a cab to the airport with cappuccinos to go and a few tasty pastries! Jake was also helpful with our dinner planning and Sam was always helpful with anything too. Our room was lovely and the breakfast was wonderful- we will definitely stay again and I highly recommend it as its in a great London location too!"
46,The Chesterfield Mayfair,My family and I went for afternoon tea for my daughters 6th Birthday. The ambiance was perfect. Staff were very helpful and friendly. As we entered Andrej was very welcoming and especially Ella and Caitlin who were very attentive. Would definitely revisit again
47,The Chesterfield Mayfair,"Service was impeccable. The hotel staff was very helpful, courteous, and professional. They went out of their way to make our stay a pleasant one. Sam, in particular, assisted us far beyond the call of duty in making sure that our experience was first-rate. We couldn’t be happier with the hotel and will be returning soon. Thank you to all."
48,The Chesterfield Mayfair,"A wonderful afternoon tea with magical service in a great setting. Really amazing experience that you just cannot beat. We had 12 of us together aged from 9 to over 70 and we all loved it, especially the delicious cakes!"
49,The Chesterfield Mayfair,"This was the best hotel stay I’ve ever had. The hotel is beautiful, the rooms are lovely, breakfast is superb, location is great and the staff are polite, courteous, helpful and totally look after you. It was perfect. 10 out of 10 :)"
50,"The Edwardian Manchester, A Radisson Collection Hotel","Good Radisson property at a very central location. Good friendly service especially during breakfast session. Room is spacious and clean. Decent recognition of Radisson VIP status, room was upgraded but probably not towards the best category as what was advertised/promised by the membership."
51,"The Edwardian Manchester, A Radisson Collection Hotel","We stayed at The Edwardian in celebration of finishing my degree & they did not disappoint in the slightest!! First off we were greeted by the loveliest staff members who upgraded our room on their behalf as they knew this was for celebratory purposes, staff were very helpful and lovely, always willing to help or answer any questions that we had had. The room was gorgeous, absolutely no faults & also when we made it to our room we had a specially made dessert waiting for us. The spa just really topped off our whole stay, we used it twice whilst we were there & felt no pressure to stick to the hour time limit allocated to us, we were not rushed out & they let us have as much time as we liked really & we left regardless when it got busier in the evening, it was very clean, well…"
52,"The Edwardian Manchester, A Radisson Collection Hotel","Absolutely incredible, the best night away I have ever had, we were well taken care of from the start and greeted in a friendly way, we had a problem with out key card but that wasn’t anyone’s fault so carnt put it against the hotel, once in the room both me and my girlfreind were blown away by our room, due to our special occasion we were upgraded room and it did not disappoint one bit, bed was Compfy the shower was warm with good pressure, service was perfect, the modernism was like no other, really felt amazing and will 100% return. The only thing I would say is that £43 for breakfast is quite high, it is self serviced which was nice and the welcome was amazing by the host it just felt a little high for breakfast but wouldn’t deny it if came back"
53,"The Edwardian Manchester, A Radisson Collection Hotel","We stayed at the Edwardian this weekend and I honestly cannot recommend this hotel enough. We had planned to stay for our first wedding anniversary last month but due to unforeseen circumstances we had to cancel our trip last minute. The staff at the hotel alongside the spa & gym staff were exceptionally accommodating and kindly allowed us to rearrange our hotel booking and spa treatments. When we arrived at the hotel, we were impressed with the welcome and we were upgraded to a beautiful suite. We went down to the spa & gym to use the facilities and enjoy our pre booked treatments but unfortunately I had realised I had rebooked the treatments for the wrong date. This was completely my fault but the staff at the spa did everything they could to fit us in despite being…"
54,"The Edwardian Manchester, A Radisson Collection Hotel","Excellent service from all of the hotel staff. They rooms were modern and so clean. The beds, pillows and bedding were so comfortable. The spa and swimming pool was the nicest and cleanest pool I have been too."
55,"The Edwardian Manchester, A Radisson Collection Hotel",Staff were really friendly and concierge were extremely attentive. Beds were very uncomfortable hard and flat duvet/pillows. Head board was very thin. Air con in room gave my partner and I a terrible cold as we couldn’t open ang windows for fresh air
56,"The Edwardian Manchester, A Radisson Collection Hotel","Very good hotel experience overall, best location and fab staff making us feel welcome. Hotel bar and restaurant is top notch. The Spa is a delight too. It’s the best we’ve experienced in the city for some years now."
57,"The Edwardian Manchester, A Radisson Collection Hotel","My wife and I stayed two nights in May 2023. The staff and accommodations were wonderful, and the location is relatively close to some great shopping. However, the greatest feature is their Head Concierge, Gary Roberts. He is absolutely a Jedi Master, who has raised his profession to a higher art form. He is the go to person for information, including how to get tickets for entertainment. He will make sure you enjoy your stay."
58,"The Edwardian Manchester, A Radisson Collection Hotel","Second time visiting this hotel, and definitely not disappointed. As before, staff were friendly and helpful. The standard of the room is excellent. If I had to find a very small irritation, it is that the breakfast room is very cramped, but the quality of the breakfast made up for it."
59,"The Edwardian Manchester, A Radisson Collection Hotel","Excellent and historic hotel, centrally located in Manchester. Superb staff and facilities, especially Head Concierge, Gary, and truly wonderful spa and gym. Was made to feel at home from check in to check out and any requests were met with a positive and thoughtful response."
60,"The Edwardian Manchester, A Radisson Collection Hotel","Did not like that i was given a handicap room as a twin room And there was no room cleaning during stay, witch I think should be standard with this price level, swimming pool was lovely and the breakfast was superb"
61,"The Edwardian Manchester, A Radisson Collection Hotel","Great hotel overall. Not many things that would need improvement, maybe some of the furniture in the rooms. Location is great, hotel clean, staff polite and welcoming, food was solid. Did not have a chance to check out the fitness area, but heard it is great too. Recommendations for this hotel."
62,"The Edwardian Manchester, A Radisson Collection Hotel","Beautiful hotel, great rooms and facilotoes. Great location, close to everything. Alot of food options around. Very friendly. Very good area to stay in Manchester. All was excellent during my travel. Thank you"
63,"The Edwardian Manchester, A Radisson Collection Hotel",From the outside the hotel looks fabulous but step inside and it feels super luxury! All of the staff are friendly and welcoming too with every interaction. Lovely rooms with everything you need and fab location - thank you for another great stay!
64,"The Edwardian Manchester, A Radisson Collection Hotel","Everything was perfect, from the staff at check in and in the bar, location is perfect, close to everything, the room is spotlessly clean, robes and slippers provided in the room, the bathroom is excellent with a bath and separate shower, free water in the mini fridge. Spa facilities are superb, would definitely recommend"
65,"The Edwardian Manchester, A Radisson Collection Hotel","We had an awful smell in the room when we arrived back after midnight, had to request to move rooms, staff were helpful in the most part but when I brought it up in the morning they didn’t apologise for our inconvenience. Also the sauna was out of service. Apart from this we had a pleasant stay."
66,"The Edwardian Manchester, A Radisson Collection Hotel","Whilst expensive, this Hotel ensures the price is very worth it, the bed was sooo comfortable & the service was a step above in every area of the Hotel. Beautiful breakfast & the spar & swimming pool are stunning."
67,"The Edwardian Manchester, A Radisson Collection Hotel","Excellent hotel, the building was beautiful and the room was spotless. Staff were very helpful and friendly and the breakfast was absolutely awesome. The location was perfect, right in the center and everything was very close by."
68,"The Edwardian Manchester, A Radisson Collection Hotel","It’s a real pleasure to stay at the Edwardian in Manchester. The customer service and attention to detail is great especially from the Customer relations Manager, Barnaby, who goes the extra mile to make your stay extra special. I would definitely recommend staying at the Radisson in Manchester. Andy"
69,"The Edwardian Manchester, A Radisson Collection Hotel",The best and most relaxing experience at the spa. First time experience and it couldn’t have been better. Can’t thank Suzanna enough for her service during our time there. Can’t recommend it enough. Thank you Suzanna!
70,"The Edwardian Manchester, A Radisson Collection Hotel",Good leasure club great location & restaurant Recommend lovely staff great location drain smell or would of 5 starred breakfast lovely staff friendly & efficient if your visiting central Manchester worth considering. Not brill to drive to & park
71,"The Edwardian Manchester, A Radisson Collection Hotel",My wife and I stayed in this hotel for our honeymoon and we absolutely had a blast. It’s one of the best hotel in Manchester with exceptional service and perfect location. We thoroughly enjoyed our stay here. The best part about it was it’s location and the convenience it offers to their guests.
72,"The Edwardian Manchester, A Radisson Collection Hotel","This hotel ticks all the boxes for a luxury stay in Manchester. Central location, gorgeous decor and well sized rooms cleaned to a high standard with all the facilities you need. Great leisure facilities and lovely staff. Really nice selection of breakfast options"
73,"The Edwardian Manchester, A Radisson Collection Hotel","This hotel looks the part online and still does as you walk in the door. Unfortunately it lacks atmosphere and to be honest feels sterile and stripped of any real character. Rooms are basic and are at most slightly better than a Premier Inn. Also the rooms are in my mind extremely hot and lacking proper air con. Staff are pleasant though. Honestly go elsewhere as there are hotels nearby, The Kimpton, for example which provide a much better all round experience. Tried it once won’t be back."
74,"The Edwardian Manchester, A Radisson Collection Hotel","Hotels lovely and clean , staff are very helpful. Gym and sauna facilities are fantastic if you’re looking for a spa weekend . Only thing letting it down is the smart tv . Only few channels have got reception and the tv is not compatible with anything ."
75,"The Edwardian Manchester, A Radisson Collection Hotel","I stayed at the Manchester Edwardian with a friend for 2 nights when we first arrived in England. It was Easter weekend, and a football team was staying, so the place was packed. I was jet lagged, so maybe that's why the extremely loud thumpa-thumpa music in the restaurant got on my nerves. Our room with 2 beds was large and comfortable, although whoever designed the bathroom didn't think about including shelf space to put your toiletries. (This is a very common flaw in hotels, I find.) It was too modern inside for my taste -- I prefer more of the original historic features in a historic building. The breakfast buffet was excellent, though -- guacamole toast is an extravagance. There was also a nice separate cocktail lounge so you have a public option apart from the loud bar &…"
76,"The Edwardian Manchester, A Radisson Collection Hotel",Will never stay there again!! Myself & friends spent a lot of money staying there for a long weekend and despite trying to explain a booking mix up they showed no flexibility so will ensure we never stay there again. Also stayed there in 2015 when it was much more plush and felt more like a 5 star hotel. Very unhappy customer.
77,"The Edwardian Manchester, A Radisson Collection Hotel","Amazing Hotel! Fabulous facilities pool was Good, sizing a little small however well looked after, and catered too fully. Reception staff was 24/7. And had plenty of Safety procedures. Keys to access lift and Doors. Access past 2am requires a Room key, only issues was coding with Keys, sometimes doesn’t works. Staffs resolved them Quickly. In room service was Amazing. Only issue was the Size and price"
78,"The Edwardian Manchester, A Radisson Collection Hotel","This is a hotel I have stayed at numerous times and have always felt that they exceeded my expectations in every way possible, and have always left 5* glowing reviews as it was previously deserved. It must be said that on this visit, some of the staff must be commended for upholding the high standards I previously experienced. Danny at check in gave an exceptional and informative check in experience, and through my stay of 2 nights, went out of his way to ensure that everything I needed was provided along with his manager Barnaby. The same with Gary on concierge, nothing was too much for him and Eva in the restaurant who served breakfast and Givan who served us in the Library bar. These members of staff need to be recognised for allowing me to see the Edwardian standards…"
79,"The Edwardian Manchester, A Radisson Collection Hotel","Expected more for the price. Was supposed to be a treat but didn’t feel like one. Pros: comfy bed, large room, clean, good service, good shower. Thick towels. Cons: sachets of crap coffee and milk (come on, this isn’t a budget hotel), noise from outside woke me at 530am, doors slamming, extortionate drinks prices, blinds didn’t adequately cover the window. Shower gels etc bolted to the wall, Some good elements but more attention needed to those little things that make all of the difference."
80,"The Edwardian Manchester, A Radisson Collection Hotel","Fantastic for one night stay, great location, beautiful bar and restaurant, lobby area really airy and welcoming. My room on the 12th floor had an amazing view. The pool and spa area is fantastic. The staff at check on were very friendly."
81,"The Edwardian Manchester, A Radisson Collection Hotel","First time guests at this hotel and cannot rate it highly enough. Check in very prompt, we had a suite on the 6th floor. Spotlessly clean, bottled water provided in the fridge & it even had a Nespresso machine. All the staff we met were very friendly and professional. The champagne bar was fun, breakfast very tasty-plenty of choice at the buffet and waiter service for tea and coffee orders. Cannot wait to return when we’ll take advantage of the spa facilities. We had no time to use these facilities-we went to have a look-the pool looked very inviting! Thanks to all who made our stay perfect!"
82,"The Edwardian Manchester, A Radisson Collection Hotel",Our receptionist and host at the Edwardian hotel Manchester (Katerina) was absolutely brilliant she deservers a pay rise. She was so polite and help me and my friend settle in and assisted with every single thing we needed. She is an example of an excellent receptionist and hostes. We loved her and she deserves to be a maneger. Seriously!! Thank your for your help and hope u enjoy your day katherina!
83,"The Edwardian Manchester, A Radisson Collection Hotel","The best part of this hotel is the spa, can’t fault it. We visited it twice in our stay and will be coming back just for that. The breakfast is good, fresh and very tasty and the location is perfect for bars/restaurants/shopping - all within walking distance"
84,"The Edwardian Manchester, A Radisson Collection Hotel",A good city centre hotel with a few pros and few cons: Pros - central location - very friendly and helpful staff - spacious rooms Cons - the hardest bed I’ve experienced in a hotel - no parking available with the hotel and no special rates for hotel guests at nearby car parks meant I spent a fortune on it - decor seems somewhat tired and dated - bathroom counter was cracked and rusted I think for the same price there are better alternatives nearby
85,"The Edwardian Manchester, A Radisson Collection Hotel","Throughly enjoyed stayng at the Edwardian. It's a lovely City Centre hotel with comfortable rooms. The spa has a pool, sauna and steam room. The food was top quality with an extensive selection for breakfast. All the staff were friendly and extremely helpful, especially Katerina on reception"
86,"The Edwardian Manchester, A Radisson Collection Hotel","5 stars experience! I had such a lovely time at this hotel, excellent accommodation with nice spa, comfortable premium room,nice atmosphere, safe and clean place! 100% recommended! 2munutes distance from Casino, restaurants and bars!"
